cpg	gene	intersection_area	slope_male	slope_female
cg23256579	PRR4	0.3297917438034292	0.005567462704360301	0.002568066576264325
cg27615582	PRR4	0.42296032659060445	0.0030697450461999844	0.0012716865227710655
cg17076667	BAG3	0.5139751925562668	0.0015835855982084754	0.0009422493661141792
cg01620164	FIGN	0.5712595305959602	0.007300532171553826	0.0037649910726591353
cg23928726	PEX10	0.588106781800924	0.0011545236036014784	0.0014118910245562008
cg03349020	FBXL16	0.6203323755461563	0.001232318895656009	0.001967565167490831
cg14079463	C6orf174	0.6240284570933018	0.003241238878749359	0.002058275925149604
cg04580344	C6orf174	0.6249080300531595	0.0030246090358044494	0.002059820805944373
cg23626733	PEX10	0.6275259385856659	0.0016522107039647026	0.0016811609956200557
cg03890691	DOC2A	0.6310859047143281	0.0037831000345559048	0.004344785715504919
cg20823695	PEX10	0.6371401860134671	0.0014347965843120602	0.0014485774841920005
cg23629166	PEX10	0.6468711832224963	0.002172075193732264	0.00195888230883028
cg14266237	KLF1	0.6577696579447772	0.0033441820776770174	0.001328942678534471
cg25362652	na	0.6606613139523021	0.002350236580840717	0.0012803464877240392
cg06972969	PHYHIPL	0.66225705828499	0.0029642713331495753	0.002274401044326773
cg16440561	SPEG	0.6632066139062129	0.0034446447166887086	0.004247917911801389
cg24439334	PEX10	0.6638968459503378	0.0013065798459510629	0.00132351686049624
cg19206146	na	0.6725460929099794	0.0031528856694050048	0.002987409937553543
cg05542681	FBXL16	0.6762865958817927	0.0038938735388110274	0.003848494824535553
cg00695391	MMEL1	0.6765433846079701	0.001673219152508409	0.0017371736551993432
cg00325531	na	0.6767850389274395	0.002130543093549113	0.002419533678727961
cg05056638	na	0.6784190896808169	0.002554286410485782	0.0022676084876996354
cg20073313	PXDNL	0.6826080343450511	0.0019873803680140398	0.0015885754302214462
cg14389669	ADAMTSL2	0.6830549167275732	0.0015809508005954034	0.002107381888171002
cg06636541	BAHCC1	0.6857975554799549	0.0012524426184824015	0.0011538454469295874
cg14371731	ZMIZ1	0.68606791049115	0.0026164727894062833	0.0015864486852809599
cg13942826	PRR4	0.6874149164324095	0.002148613081990406	0.0009819876000869208
cg02891686	SOD3	0.6908469000014059	0.0025057856492465883	0.0022339644053492036
cg03950599	na	0.6912489681594165	0.002537199843295503	0.0015118054143310662
cg20110742	na	0.6934484582179476	0.0020513198506541363	0.0011664344838612816
cg05017628	na	0.6954474262879538	0.002790308386245742	0.0020394217810976198
cg21811204	SHROOM1	0.6956048360091401	0.002158252601359515	0.002114780920083282
cg16987606	GPRC5C	0.6963610838263345	0.0008196944121790507	0.0013040291296420622
cg20704654	NCRNA00028	0.697899503548288	0.001945796365484543	0.0014859199955707667
cg02258201	HRCT1	0.6991402344755009	0.0028325989814830246	0.0017970914798182973
cg26612727	ZPBP2	0.7020700907396724	0.0013217857736154243	0.0014363943970369484
cg07003407	LOC284837	0.7026030047616648	0.001688780718744005	0.001342433144311078
cg20665157	CADPS2	0.7028969856772709	0.003751934876082144	0.0031082837881007187
cg09187505	na	0.7042883024833764	0.00266311154625735	0.0018715001861572284
cg10409981	na	0.7052749442927166	0.0028280291101394003	0.0020059536918421036
cg13158272	na	0.7059121053975946	0.0022674376826746115	0.0024784621636017674
cg11562153	GPX5	0.7077203591368721	0.0015519148072213015	0.0017458852623226805
cg03358636	KIAA0226	0.7096095863742709	0.002315491641860623	0.0018356984672644793
cg21184711	CADPS2	0.7110638463791927	0.005318243319977477	0.0038664619159307634
cg17052170	LY6E	0.7125960333611095	0.0016384345552052702	0.0010323302324907163
cg22133973	na	0.7141908429775403	0.0028409325291309656	0.0018819516991141082
cg08617160	MIER2	0.7151759751272859	0.0027387095236089264	0.0017796470892402043
cg00327072	NEURL1B	0.7160956218899366	0.00187232333818588	0.0011580877187389042
cg09214243	na	0.7161893640172704	0.002618108671351175	0.0013566048957257442
cg26345105	na	0.7176708742297647	0.003272884620370436	0.002612107598869094
cg09183450	AHNAK	0.718837524082113	0.002758919028827337	0.0016054610560351373
cg01605783	LOC284837	0.7194753849824825	0.001388695230057716	0.0011895489147200034
cg05609159	na	0.7202645186030219	0.0024890097735141225	0.0021003378623702805
cg23149300	na	0.7230812693428245	0.0018048819585571136	0.0016017759850922256
cg20909645	na	0.7231867426089962	0.004648850981254149	0.003094603231237866
cg24167372	na	0.724224201810459	0.0012996643295691158	0.001737482860240565
cg00387658	CASS4	0.7275158725592293	0.0018647023988663265	0.0021904496302750467
cg13544075	LCN6	0.7285214658817516	0.0020576870268185768	0.0024105212954052212
cg01327602	SHISA7	0.7287833846097203	0.001485436558965075	0.0013970999354458436
cg12765064	na	0.7295049295733858	0.00220248495046658	0.002106099729981689
cg05620980	na	0.7302682136814045	0.002326234754569305	0.0024860559249081887
cg12873476	na	0.7314334456640149	0.001964453742958084	0.001847551835721629
cg00303541	GRM2	0.731959425169932	0.0038184408683752335	0.0033378695148962175
cg18675097	NKAPL	0.7339458608344523	0.0031929514185122603	0.00271805608141905
cg16015113	KIAA0319L	0.7368191761273379	0.001628851300961363	0.0016282965973576193
cg15922174	CRB2	0.7368738598566782	0.0015552869037252027	0.0015797155445533837
cg07529654	TGIF1	0.7376146303323539	0.004361666883232314	0.002895913928756417
cg03578951	DMAP1	0.7380554840165154	0.0035850620915137766	0.002113941642604703
cg25773262	BCAN	0.7394763494363424	0.002698027741884945	0.00268390374221905
cg02188818	TBC1D9	0.7404782017161459	0.0020657646007844464	0.0021359411844411843
cg05308495	CACNG6	0.7414320101303498	0.002444863906762433	0.0016730931114698532
cg10917602	HSD3B7	0.7418158682672359	0.0022977272891231875	0.0021383829841148004
cg06060874	PRDM16	0.7429096849797455	0.002911891197108187	0.003661810284960356
cg14469684	na	0.7439688750688923	0.0013286628123683024	0.0015941204624856282
cg13929323	na	0.7445378030096215	0.0028174735867957127	0.001428083527795527
cg04098052	na	0.7447645484623792	0.0023808214911518635	0.002791384231633666
cg11853788	TDRD5	0.7451903783211089	0.0024254568676154525	0.0024966846731752303
cg24114014	na	0.7466455029995807	0.003419401384670429	0.0030826628927206018
cg04453050	GRM2	0.747273261671291	0.002644206067873611	0.0022612037263546807
cg06762457	ZC3H12D	0.7476216290263236	0.0017903252499206425	0.002051963377374882
cg14614094	EXOSC2	0.7480863248039711	0.002256114674946288	0.0016222596808790617
cg19618897	na	0.7485714232928771	0.001417955330138561	0.0014527543085314197
cg04058752	B3GNT6	0.7487245023755452	0.0014842773876059638	0.0016468857107281212
cg13756273	TUBB1	0.7488953917048514	0.0016956206561742038	0.0010334787271274086
cg22820188	LMNA	0.7493246080396037	0.001420104605334103	0.0013188100925807386
cg14573411	CRB2	0.7495762263913992	0.0011582304657373717	0.0012530410224809727
cg04662594	EPB49	0.751012854215279	0.0017570210786233315	0.0018475503265396442
cg12899747	na	0.7515763795309054	0.0031919489727865974	0.0038590451757544056
cg17430979	JAKMIP1	0.7518997361091222	0.0028676403315258665	0.002260963433271269
cg05107535	na	0.7530019826588477	0.0018617466228866588	0.0013711098005610878
cg16888547	na	0.753165259603643	0.0027949571677077976	0.0014841532262181351
cg08352439	VOPP1	0.7536236384196181	0.0016194560193759494	0.0015730969683700326
cg14255824	TJP2	0.7537478881374398	0.0032353324937514213	0.0026913349486100573
cg09262197	C1orf174	0.7540092716041046	0.001538771023716878	0.0012904216773051357
cg00073460	ZC3H12D	0.7546485689326629	0.0016819223689958321	0.0017096816881945645
cg15890469	PGF	0.7548973741670453	0.001003240591428733	0.001414287368951304
cg12161971	USP35	0.7553647932443721	0.002837200282922993	0.0025540495937217958
cg24518098	na	0.7563788836061538	0.0012540927308087757	0.0013625885607105514
cg14643892	C12orf56	0.7566556659623389	0.002900931903203345	0.002579871700265668
cg04188920	PFKP	0.7573188040736354	0.0015843647702707506	0.001681584147341748
cg04503319	ANKRD11	0.7584610383808473	0.0028186570998226085	0.0023486896795421597
cg14030904	ZC3H12D	0.7586150785576848	0.0010825870926497313	0.0016717340892537763
cg22121557	na	0.7592114242638881	0.002417271950007672	0.0024375676179958007
cg19433091	TMEM62	0.7592631026934997	0.0016014447751808785	0.0016315820395292938
cg11807280	na	0.75973560466393	0.005828021381594173	0.005866627595731699
cg25432232	AURKC	0.7604048260700368	0.001432205240980664	0.0016300747035199261
cg22637865	TTLL1	0.7617882134704267	0.0016285183301662355	0.001354187259618353
cg23115387	FOXE3	0.7618897730156591	0.0014164733705999953	0.0013671204865621505
cg14362178	na	0.7625362877473308	0.0016281196479530381	0.0021804203400502707
cg03534662	LIMD1	0.7625651605592378	0.001807409658836496	0.0016170757856221567
cg24350475	KIAA1462	0.7625742203339145	0.002489275976225774	0.0026432583765801554
cg14480266	na	0.7633758079516788	0.0028256861043229557	0.002163059560308405
cg04731926	LSR	0.763395288844636	0.001313439690782083	0.0014327344717104998
cg06699564	na	0.7643843628405063	0.0025940174077617633	0.002185776890209885
cg16323609	PRKAR2A	0.7643957917353	0.0014557183286130282	0.0012672121719071586
cg26331343	na	0.7649795284357668	0.0025395058955553313	0.0016350959969082747
cg00448560	ZNF423	0.765002808445042	0.0017306462279308896	0.0016372440625574607
cg00982136	CLK1	0.7651219283656889	0.0024544953304568465	0.0020655237632266348
cg06853416	na	0.7655896267231966	0.002506391455323649	0.002080798538848495
cg12516875	na	0.7659844226491734	0.0024328706963321336	0.0015075672436226013
cg05531482	na	0.7663348026652789	0.0028003804452020418	0.002136702409148372
cg17720286	ADAMTSL5	0.7672718273747317	0.0010697867839268242	0.0011904894585935669
cg09728487	na	0.7682688740976275	0.0029284748085431256	0.0015746892126702675
cg25865120	DUT	0.7705517536952844	0.0024383810759258375	0.0012146109613024197
cg22930275	TARSL2	0.7723526093903446	0.0030217785027546224	0.0020000803619652026
cg15704699	NLK	0.7725134343322183	0.0034025114098054595	0.0023414335638280433
cg23476877	na	0.7728953750357141	0.0032687257272486668	0.002594352277536354
cg07920525	na	0.7730113114604701	0.0025945157484713135	0.0014210753126080232
cg19784428	NWD1	0.7730130580444021	0.00387668151373132	0.002841992297300623
cg24869272	TSPAN4	0.7747132335561213	0.0018005337257155861	0.0012495333733794085
cg26644674	PFKP	0.7755690224518506	0.0027786250917372093	0.0015185933192008272
cg10874644	na	0.7759378510136441	0.003976393914126118	0.0024294928932955874
cg06617961	MIR1826	0.776837892088448	0.0021785385012739137	0.0016443243066032057
cg21571060	na	0.7769593697463338	0.0019494872028581118	0.0021630755490807873
cg12069267	na	0.7780101395684956	0.0018091103461713508	0.00211851752652262
cg20699586	na	0.7819601110091269	0.003880624867105253	0.003957934823417572
cg10665321	SLC25A42	0.7835758562096926	0.003594295224403083	0.0032440227041719487
cg18990365	PDE1A	0.7836796450589109	0.002912086407568759	0.0016594617260372116
cg14898223	na	0.783919045397993	0.0024032230552448906	0.002894566366792574
cg00541638	USP7	0.7902106538268051	0.001773978315795359	0.0020807047949009156
cg00891995	SPRR2C	0.7905123865740707	0.0034143602035046536	0.002722443111423306
cg22512670	RPS6KA1	0.793723116412647	0.0031367860787209793	0.0020792912750103696
