cpg	gene	intersection_area	slope_male	slope_female
cg23256579	PRR4	0.2512064418314918	-0.002127444420783129	-0.0016988024201549051
cg27615582	PRR4	0.3754092402998776	-0.0012362297060532267	-0.0011703682765774597
cg17076667	BAG3	0.46368069308681975	-0.0010299651112226083	-0.0001070787354360449
cg18063486	na	0.5371512564196121	6.934835203194667e-05	0.0010261372971026076
cg11092486	na	0.5404693583177674	0.0007205518688710097	0.001080049189590886
cg03349020	FBXL16	0.559807514576341	0.0006654027407299886	0.0015170638152041042
cg00934355	DMRT2	0.5723710993489318	0.00043523497747040827	0.0011190895875178163
cg08035323	na	0.5803296332161688	-0.0005484642298801497	-0.001258011382570468
cg01620164	FIGN	0.5935940913864761	-0.007026419521497258	-0.0037649910726591353
cg03890691	DOC2A	0.5951615147108945	0.0017432939440407942	0.0022718902519929217
cg15772157	na	0.599288568759842	0.0008768059832377534	0.0011340669006533821
cg05542681	FBXL16	0.6083008776231121	0.0014677663769002724	0.0031154735617795574
cg23928726	PEX10	0.6120729719716677	-0.0008184904292196753	-0.0012246510049352623
cg19544707	na	0.6135501528664162	0.0009412821753337237	0.0011666474463684338
cg17292758	PPFIA3	0.6168681957089176	0.0005399998831962966	0.001002656268569664
cg23626733	PEX10	0.6251448664842515	-0.001394214649782628	-0.001399091675304473
cg20823695	PEX10	0.6347723636438561	-0.0009918052879510815	-0.0010745092029018737
cg11174255	na	0.6354389564956089	0.0002571741777428233	0.00130139235572216
cg20390711	C6orf174	0.6430573299878418	0.0011290088124725445	0.000764954349186009
cg14079463	C6orf174	0.6434227567660201	0.0021294736849135176	0.0018958796979045838
cg04580344	C6orf174	0.6438988184270518	0.0020204453591494494	0.0017039862239341462
cg22584138	SLC6A4	0.6445310138166513	0.0010417732896675054	0.0008563510832308296
cg24439334	PEX10	0.6561688390225853	-0.0008795064515739762	-0.0010993299097441615
cg22549041	CYP1A1	0.6586880263952009	-0.0010419045198923115	-0.0004529131014072829
cg04891961	ANKRD13B	0.6613297197593511	0.001133893162441235	0.00128370903712851
cg10791317	FBXL16	0.662778229728376	0.0006461305678575682	0.0013872331946802364
cg22953960	na	0.6642830304215264	0.0007957772200999908	0.0010396443610965174
cg23629166	PEX10	0.6666290196666662	-0.0016443515438803844	-0.00195888230883028
cg02959108	na	0.6670911492381085	0.000676861610290356	0.001185999215247311
cg27151362	DOC2A	0.6692103886627258	0.000976193257685284	0.0011829870166905135
cg13610307	CACNA1B	0.6749412236113644	0.001007998115435289	0.001402448764509981
cg21082868	na	0.6751560985441678	-0.0011161406752200989	-0.0008349920079466481
cg01875596	ZNF521	0.6751822154910205	-0.0005739649806659944	-0.0010765819362012921
cg25034424	na	0.6766539607586476	0.0004448565723150242	0.0015830058944595012
cg26533311	na	0.6772468042248705	0.0007139049298693767	0.001332815028193529
cg14168923	GSX1	0.6824023486636738	0.0007474006242107986	0.0010253635913893984
cg06972969	PHYHIPL	0.6839637941873006	0.0013338320777761881	0.0010589985125697612
cg19206146	na	0.6840976006341428	0.000831218418277613	0.0014726205908859732
cg02282631	na	0.686139925021191	0.0009176619218380321	0.001165235000453771
cg10525394	na	0.6888491393388141	-0.00031520593603951786	0.001296941090187873
cg21587238	na	0.6908625535127781	0.0005976709966082073	0.0013117982941545387
cg05056638	na	0.6910397310118097	0.0015105507614633369	0.001289741325682878
cg25362652	na	0.6915638097997108	0.0006613847590464829	0.0012290724058392712
cg05301470	na	0.6971183953611779	0.0013922770227948037	0.0015964741007430425
cg21184711	CADPS2	0.6984114523407159	0.002743924287463004	0.0019520082298103418
cg14266237	KLF1	0.6992271585651295	0.0008736054981695628	0.0010160125142667368
cg16440561	SPEG	0.6993800333250352	0.0009744519285810048	0.0019031007259288854
cg05304393	TELO2	0.7002102019333644	-0.0014130276565039123	-0.0009237883432821079
cg00325531	na	0.7045533390312411	0.000321000279184598	0.0010041964869236027
