cpg	gene	intersection_area	slope_male	slope_female
cg23256579	PRR4	0.3738867212920398	-0.0016937494511900914	-0.0017326842750517285
cg27615582	PRR4	0.4364043343205197	-0.0012193597238221276	-0.0008522298182815288
cg17076667	BAG3	0.5597813411712201	-0.0014210804570590424	-0.0006221908491304246
cg01620164	FIGN	0.5761464205625836	-0.002573606908644701	-0.0031136993231126093
cg13982318	APBA1	0.579861080781726	0.001058527439576388	0.0005064829350718223
cg23928726	PEX10	0.6115296351778838	-0.0010163826720557072	-0.0010356101217332176
cg07586008	PPFIA3	0.6133205279036172	0.0010902974382428021	0.0005272341762105917
cg23250574	na	0.6135573092516606	0.0020552047475356507	0.002669863280807736
cg19544707	na	0.6274374994864687	0.0014399776803412586	0.0013285774962297893
cg13951074	na	0.6299495284653418	0.0013451800960437247	0.0016830717306976727
cg25887789	PDZRN4	0.6337514964724873	-0.0012250182116436358	-0.0008022226557721184
cg09639931	ZPBP2	0.6394896018073335	0.001141390013672957	0.0008282049325426528
cg08364561	na	0.6441481669196409	0.0013574287959784758	0.001358118712175176
cg00991744	PDZRN4	0.6445137386112909	-0.0015178296417089822	-0.0011561668520722402
cg12667595	na	0.6477526591048942	0.0017578831788073663	0.0017373950086683643
cg14079463	C6orf174	0.6499958257624676	0.003241238878749359	0.002058275925149604
cg04580344	C6orf174	0.6528626679159986	0.0030246090358044494	0.002059820805944373
cg20390711	C6orf174	0.6540045515413198	0.0018477899054371242	0.0009913056471839577
cg19098932	PEX10	0.6553438153034271	-0.0016499076040634925	-0.0022422110919472814
cg14361252	na	0.656243274394457	0.002688111892195498	0.001614794312520175
cg04996277	KCNN2	0.6569300529443579	0.0011524448407232385	0.0010249897094997734
cg08415582	na	0.6580749945994612	0.0017302673496270276	0.0012371489439921297
cg23626733	PEX10	0.6693414109545898	-0.001228351243558034	-0.001288360635736132
cg23629166	PEX10	0.6706384261802321	-0.001270970285821806	-0.0014037642847039677
cg20823695	PEX10	0.6711580940469657	-0.0008841750796198816	-0.0010755219339193183
cg06119452	THBS2	0.676949031409501	-0.0018290822291591859	-0.0015205763179231232
cg17493885	NSD1	0.677477050421907	0.0012992624299970072	0.0013850288587339329
cg18121224	NSD1	0.6787991872464876	0.0011442113357484484	0.0010700476133066932
cg14266237	KLF1	0.679924157083841	0.0016586438863789362	0.001328942678534471
cg06972969	PHYHIPL	0.681310262079624	0.0029642713331495753	0.002274401044326773
cg17030173	na	0.6819834399503657	0.0019334383983724453	0.0016072193256221159
cg00695391	MMEL1	0.6830436927705352	-0.0015478558391866563	-0.0014841028305754922
cg00049595	na	0.6830483752983217	-0.000916247580739211	-0.0010638507744113754
cg03890691	DOC2A	0.6842414812264301	0.0037831000345559048	0.004344785715504919
cg16150752	na	0.6842646265489306	0.001789598862577358	0.0016678514079066455
cg19529621	na	0.6850142154331407	-0.001211218564782761	-0.0006715058486465097
