cpg	gene	intersection_area	slope_male	slope_female
cg00167275	FAM35A	0.0	0.0013640351957985239	0.00012093902607422194
cg12052203	B3GNT1	0.117944185409477	0.0011943666811730746	-7.873942244716756e-05
cg06710937	na	0.2018422617088283	0.0010980990284194339	0.0002855186851095336
cg07381872	na	0.21059640123454051	-0.001092066215097002	0.00019036122492889187
cg23256297	ZNF608	0.25888432880578854	0.0010777717032964562	0.0006487325006160585
cg15974085	C18orf55	0.3083226798620272	0.0010447294152606907	-0.0009622286321522083
cg12220058	NMB	0.30988015222734444	0.009646524155118954	0.000928127156818094
cg22266749	COL25A1	0.3161123748683049	0.0013723786537800434	-0.00013326766066003767
cg17700633	IER2	0.31644884804234125	0.0010235328355069312	-0.0009715140073366876
cg23256579	PRR4	0.32018709079814534	-0.004168659026323901	-0.00213561726934289
cg06855065	RNF111	0.34018111920756433	0.0011349228643058402	-0.000878699542658878
cg04187187	BANF1	0.3438696080825767	0.001081007190148553	-0.0006749274515629331
cg05264446	BCL6	0.3450520369891031	0.0011258734416812336	-0.0006923771827507183
cg21920221	STK10	0.34579706746934846	0.001601840614884834	-0.0013886617884377628
cg16220513	C14orf166	0.3458658132997364	0.003186739440502414	-5.650904063452694e-05
cg26376157	XRCC5	0.3525745010280948	0.0012581704207512512	-0.000871718870154516
cg15817705	na	0.36072489212721087	-0.001109083303596741	-0.0003586523772877842
cg06797734	GRAMD1B	0.3670610583660574	-0.0003994260492808588	-0.001064494125356896
cg20674839	na	0.36836671116903547	0.0015392482018049354	-0.0009553424661639194
cg22084460	CACNA1A	0.3695219175376125	-0.0013071791723132567	-0.0009212509187625781
cg01413005	BAT2L2	0.37080679990774706	-0.0012998600684574252	0.000988910833356988
cg24351167	PHACTR1	0.37140072658977175	0.0013156208269717662	-0.0005213265764129181
cg25742246	na	0.37656247127557047	0.0010515758436535937	5.041187063984793e-05
cg00050247	na	0.3804792453347992	0.0011742861990902667	-0.0007959511379926018
cg27256523	RB1	0.3827000467575141	0.0014558475615932874	-0.0007172332049404204
cg23051792	ISOC2	0.38400398896413	0.0011572663473483674	-0.00026811746422571024
cg03868159	UBR2	0.3846483138438522	0.0014069335451703674	-0.000903234760751392
cg13300911	JMJD7	0.3856524478876732	-0.001007028592044061	-7.900993116440615e-05
cg07226813	P4HTM	0.38598743472005836	0.0010598043600840753	-0.0005357488502209769
cg20102506	PPFIA3	0.39039270911510415	0.001253312212127998	-0.0007558586955547412
cg19881928	SCN4A	0.3938149514616548	0.001100566437657854	0.001169799634755943
cg21784396	PRRT4	0.3956647437631429	0.0015372460448076293	0.0012257624195688357
cg01357671	ITGAE	0.39594401631407017	0.0018452840147661317	-0.0009614258533943756
cg09254686	UNC45A	0.39619920887461263	0.0012782258376143215	-0.0006811910659473799
cg08856920	ADAT2	0.396507359698689	0.001359782538020713	-0.0008137088213913894
cg11334214	RASGRP2	0.39763548797159004	0.0013367382722211678	-0.0006481867704437503
cg22712329	C1orf101	0.3983208080005128	0.0013512855808249637	-0.0008077113134554667
cg24702253	MRGPRG	0.4020655109755812	-0.0003328070341546963	-0.0016577284385974637
cg23413809	SIX2	0.406766945118668	0.0011221271642804479	-0.000578035173793539
cg14593956	PAIP2	0.40759488437720437	0.0012870860426739445	-0.0008156632342787416
cg08265500	REEP4	0.40787907983352456	0.0011234062160707988	-0.0008052100251256949
cg24050671	CCDC15	0.4085700178757025	0.0011317445162094383	-0.0006993900203038151
cg12419678	FUT11	0.410086444808499	0.0010567777530391248	-0.0005210406438917399
cg10739556	na	0.4109095638758085	0.0013391386086963953	0.0005749631827501188
cg18404925	RAC1	0.41096289582334267	0.0017000607190329686	0.00020774059727395733
cg26220528	SHMT2	0.411307285220287	0.0008005640095285003	-0.0011582759311811698
cg14312133	NCRNA00092	0.41147539230365765	0.0011135706491869793	0.0005465992521620839
cg13751489	TIRAP	0.41373048506374577	0.0012939338237418394	-0.0008077888497473224
cg02718824	LETMD1	0.41489501212957924	0.0010390186174124147	-0.0005567391780707722
cg26801109	RPL27A	0.41542424759825014	0.0010432007397761485	-0.0004956269421143547
cg19282745	STK39	0.41622896749361776	0.0011286218599018479	-0.0005476167263274037
cg27551657	TAF13	0.4166844727164	0.001055653974816283	-0.0005727276915204027
cg26072851	MKS1	0.4170575398962528	0.00132866239239291	-0.0008066681758175042
cg02996471	S1PR4	0.4196356563178764	0.0010216432468264506	-0.0005338045557267796
cg17974053	na	0.4200451884967298	0.0013565992036800138	-0.0005749867957567696
cg04584761	SUPT7L	0.4203490467647653	-0.0012373102750811852	-0.0003636296993072388
cg12320322	ATL3	0.42057014211356647	0.001120358980011131	8.772051096270626e-05
cg19587038	PIK3R3	0.4212042595419284	0.00123527065002756	-0.0005779792403600726
cg00377757	TIMP2	0.4216436882709825	0.0010968479054631192	-0.0006122452510112107
cg19059423	na	0.42314098826784136	0.0013797124966914967	-0.0005842196078240728
cg01191584	SNX17	0.42342545053081515	0.0012658089449796644	-0.0006799163349611972
cg11989343	LECT1	0.4243289669504951	-0.0014481157032881864	-0.0014639541012705331
cg05838956	MRPL17	0.4247176967173984	0.0010773456697360305	-0.0005211906828492469
cg04725777	na	0.4262233911488351	0.0010836278390046101	-0.0006473680252708717
cg19257200	SOX10	0.4266053055048204	-0.0012466602509112685	-0.0004947380496105254
cg26128977	DLEU2	0.4279928242076686	0.0011056102401996936	-0.0005238235357812376
cg26008469	PIGK	0.4284791603974768	0.0012438371312959145	-0.00070734147065712
cg11837274	HIST1H2AB	0.428747532863958	0.001087516701172221	-0.0006454760133585638
cg14659771	na	0.42892073324341334	0.0012290373103175294	-0.0005257706509696367
cg24983523	PDX1	0.42905828448663885	0.0016164198636808927	-0.0007867573920127646
cg27544294	na	0.4298876932891391	-0.001794987219578822	0.00018298470369011678
cg06791473	RND1	0.430642367561504	0.0010952149306951947	-0.0005059957528258367
cg05420668	ATP2A1	0.43136631145621657	0.00131647561353813	-0.0005838487955339659
cg07689260	PTPRN2	0.4315375717590217	0.0011073500356101559	-8.600836898148303e-05
cg11416076	ZNF85	0.4317968028814243	0.00126531359239379	-0.0006269187509186442
cg14783567	na	0.43258571850437005	0.0011568654510995106	-0.0006960759703266093
cg13546935	SPDYA	0.4333298905448136	0.0013547590561414113	-0.00011293113545897998
cg26859586	NT5C2	0.4374858992519037	0.0011409241991361288	-0.0008373194520118031
cg17182302	C1orf203	0.43901142742804905	0.0010465034723133608	-0.0007801484442742383
cg06168050	ZNF207	0.43918677841816917	0.0014402058375027947	-0.00086647474286509
cg02429398	AKTIP	0.4397014764755581	0.0015545882150941178	-0.0009143880323221138
cg05613116	na	0.44114607768139885	0.0013390810007520557	0.0006348888354358682
cg24548498	na	0.44124134213677507	0.0011480710708822617	-0.00018556044932057302
cg25827490	MSC	0.44200333737763087	0.0013141727767272053	-0.0005675263715771229
cg05195750	ELP4	0.44205302915731237	0.0016717965986803932	-0.0006688194412783531
cg00767644	CACYBP	0.4429333458583397	0.001295741492417696	-0.0005272110072060545
cg12679308	CUX1	0.4434391380663621	0.0012967991528046213	-0.0005956615485500435
cg08040170	ARL6IP1	0.44360588433582293	0.0010455746829438493	-0.0006394886356386884
cg27615582	PRR4	0.44362339742150075	-0.0030697450461999844	-0.001169378821324949
cg07021777	HSD17B11	0.44467249833896966	0.001056492145506552	-0.0007017410189736607
cg06644124	ZNF281	0.4461149788098829	0.002900923564500592	3.541391167737138e-05
cg26230658	DHX33	0.4468854245311113	0.0014158921307973569	-0.000730206876378485
cg01217204	TTL	0.44723657319862486	0.0015038220446397092	-0.0007287138764358004
cg09433135	FLJ40125	0.4473510607702188	0.0016028467359555459	-0.0004903969754051307
cg24309256	AZI2	0.4475431530026497	0.0014073731784542914	-0.0008147848906168425
cg22854561	WDSUB1	0.4477324290582812	0.0010697625017591003	-0.0001688571483989139
cg01276128	ACTN4	0.44837984401633046	0.0010245855869904892	-8.44138145715301e-05
